Symbol, Sector, Sub-sector,Company
DWARKESH, Consumer Defensive , Confectioners,Dwarikesh Sugar Industries Limited
DYNAMATECH, Consumer Cyclical , Auto Parts,Dynamatic Technologies Limited
DYNPRO, Basic Materials , Specialty Chemicals,Dynemic Products Limited
EASTSILK, Consumer Cyclical , Textile Manufacturing,Eastern Silk Industries Limited
EASUNREYRL, Industrials , Specialty Industrial Machinery,Easun Reyrolle Limited
EBIXFOREX, Financial Services , Capital Markets,EBIXCASH WORLD MONEY INDIA LIMITED
ECLERX, Technology , Information Technology Services,eClerx Services Limited
EDELWEISS, Financial Services , Capital Markets,Edelweiss Financial Services Limited
EDL, Consumer Defensive , Beverages-Brewers,Empee Distilleries Limited
EDUCOMP, Consumer Defensive , Education & Training Services,Educomp Solutions Limited
EICHERMOT, Consumer Cyclical , Auto Manufacturers,Eicher Motors Limited
EIDPARRY, Consumer Defensive , Confectioners,EID Parry India Limited
EIHAHOTELS, Consumer Cyclical , Lodging,EIH Associated Hotels Limited
EIHOTEL, Consumer Cyclical , Lodging,EIH Limited
EIMCOELECO, Industrials , Farm & Heavy Construction Machinery,Eimco Elecon (India) Limited
EKC, Industrials , Specialty Industrial Machinery,Everest Kanto Cylinder Limited
ELECON, Industrials , Specialty Industrial Machinery,Elecon Engineering Company Limited
ELECTCAST, Basic Materials , Steel,Electrosteel Castings Limited
ELECTHERM, Industrials , Metal Fabrication,Electrotherm (India) Limited
ELGIEQUIP, Industrials , Specialty Industrial Machinery,Elgi Equipments Limited
ELGIRUBCO, Consumer Cyclical , Auto Parts,Elgi Rubber Company Limited
EMAMILTD, Consumer Defensive , Household & Personal Products,Emami Limited
EMAMIPAP,  , ,Emami Paper Mills Limited
EMAMIREAL, Real Estate , Real Estate-Development,Emami Realty Limited
EMCO, Industrials , Specialty Industrial Machinery,Emco Limited
EMKAY, Financial Services , Capital Markets,Emkay Global Financial Services Limited
EMMBI, Consumer Cyclical , Packaging & Containers,Emmbi Industries Limited
ENDURANCE, Consumer Cyclical , Auto Parts,Endurance Technologies Limited
ENERGYDEV, Utilities , Utilities-Regulated Electric,Energy Development Company Limited
ENGINERSIN, Industrials , Engineering & Construction,Engineers India Limited
ENIL, Communication Services , Broadcasting,Entertainment Network (India) Limited
EON, Industrials , Specialty Industrial Machinery,Eon Electric Limited
EQUITAS, Financial Services , Credit Services,Equitas Holdings Limited
ERIS, Healthcare , Drug Manufacturers-Specialty & Generic,Eris Lifesciences Limited
EROSMEDIA, Communication Services , Entertainment,Eros International Media Limited
ESABINDIA, Industrials , Tools & Accessories,Esab India Limited
ESCORTS, Industrials , Farm & Heavy Construction Machinery,Escorts Limited
ESSARSHPNG, Industrials , Marine Shipping,Essar Shipping Limited
ESSELPACK, Consumer Cyclical , Packaging & Containers,Essel Propack Limited
ESTER, Basic Materials , Specialty Chemicals,Ester Industries Limited
EUROCERA, Industrials , Building Products & Equipment,Euro Ceramics Limited
EUROMULTI, Technology , Solar,Euro Multivision Limited
EUROTEXIND, Consumer Cyclical , Textile Manufacturing,Eurotex Industries and Exports Limited
EVEREADY, Industrials , Electrical Equipment & Parts,Eveready Industries India Limited
EVERESTIND, Industrials , Building Products & Equipment,Everest Industries Limited
EXCEL, Industrials , Engineering & Construction,Excel Realty N Infra Limited
EXCELINDUS, Basic Materials , Specialty Chemicals,Excel Industries Limited
EXIDEIND, Consumer Cyclical , Auto Parts,Exide Industries Limited
EXPLEOSOL, Technology , Information Technology Services,Expleo Solutions Limited
FACT, Basic Materials , Agricultural Inputs,Fertilizers and Chemicals Travancore Limited
FAIRCHEM, Basic Materials , Specialty Chemicals,Fairchem Speciality Limited
FCL, Basic Materials , Specialty Chemicals,Fineotex Chemical Limited
FCONSUMER, Consumer Defensive , Food Distribution,Future Consumer Limited
FCSSOFT, Technology , Information Technology Services,FCS Software Solutions Limited
FDC, Healthcare , Drug Manufacturers-Specialty & Generic,FDC Limited
FEDERALBNK, Financial Services , Banks-Regional,The Federal Bank  Limited
FEL, Consumer Cyclical , Department Stores,Future Enterprises Limited
FELDVR, Consumer Cyclical , Department Stores,Future Enterprises Limited
FIEMIND, Consumer Cyclical , Auto Parts,Fiem Industries Limited
FILATEX, Consumer Cyclical , Textile Manufacturing,Filatex India Limited
FINCABLES, Industrials , Electrical Equipment & Parts,Finolex Cables Limited
FINEORG, Basic Materials , Specialty Chemicals,Fine Organic Industries Limited
FINPIPE, Industrials , Building Products & Equipment,Finolex Industries Limited
FLEXITUFF, Consumer Cyclical , Textile Manufacturing,Flexituff Ventures International Limited
FLFL, Consumer Cyclical , Apparel Retail,Future Lifestyle Fashions Limited
FLUOROCHEM, Basic Materials , Chemicals,Gujarat Fluorochemicals Limited
FMGOETZE, Consumer Cyclical , Auto Parts,Federal-Mogul Goetze (India) Limited.
FMNL, Real Estate , Real Estate Services,Future Market Networks Limited
FORCEMOT, Consumer Cyclical , Auto Manufacturers,FORCE MOTORS LTD
FORTIS, Healthcare , Medical Care Facilities,Fortis Healthcare Limited
FOSECOIND, Basic Materials , Chemicals,Foseco India Limited
FRETAIL, Consumer Cyclical , Department Stores,Future Retail Limited
FSC, Industrials , Integrated Freight & Logistics,Future Supply Chain Solutions Limited
FSL, Technology , Information Technology Services,Firstsource Solutions Limited
GABRIEL, Consumer Cyclical , Auto Parts,Gabriel India Limited
GAEL, Consumer Defensive , Packaged Foods,Gujarat Ambuja Exports Limited
GAIL, Utilities , Utilities-Regulated Gas,GAIL (India) Limited
GAL, Basic Materials , Steel,Gyscoal Alloys Limited
GALAXYSURF, Basic Materials , Specialty Chemicals,Galaxy Surfactants Limited
GALLANTT, Basic Materials , Steel,Gallantt Metal Limited
GALLISPAT, Basic Materials , Steel,Gallantt Ispat Limited
GAMMNINFRA, Industrials , Infrastructure Operations,Gammon Infrastructure Projects Limited
GANDHITUBE, Industrials , Metal Fabrication,Gandhi Special Tubes Limited
GANECOS, Consumer Cyclical , Textile Manufacturing,Ganesha Ecosphere Limited
GANESHHOUC, Real Estate , Real Estate-Development,Ganesh Housing Corporation Limited
GANGESSECU, Consumer Defensive , Packaged Foods,Ganges Securities Limited
GARDENSILK, Consumer Cyclical , Textile Manufacturing,Garden Silk Mills Limited
GARFIBRES, Consumer Cyclical , Textile Manufacturing,Garware Technical Fibres Limited
GATI, Industrials , Integrated Freight & Logistics,GATI Limited
GAYAHWS, Industrials , Infrastructure Operations,Gayatri Highways Limited
GAYAPROJ, Industrials , Engineering & Construction,Gayatri Projects Limited
GBGLOBAL, Consumer Cyclical , Apparel Manufacturing,GB Global Limited
GDL, Industrials , Integrated Freight & Logistics,Gateway Distriparks Limited
GEECEE, Real Estate , Real Estate-Development,GeeCee Ventures Limited
GEEKAYWIRE, Industrials , Electrical Equipment & Parts,Geekay Wires Limited
GENESYS, Technology , Software-Application,Genesys International Corporation Limited
GENUSPAPER, Basic Materials , Paper & Paper Products,Genus Paper & Boards Limited
GENUSPOWER, Industrials , Electrical Equipment & Parts,Genus Power Infrastructures Limited
GEOJITFSL, Financial Services , Capital Markets,Geojit Financial Services Limited
GEPIL, Industrials , Engineering & Construction,GE Power India Limited
GESHIP, Energy , Oil & Gas Midstream,The Great Eastern Shipping Company Limited
GET&D, Industrials , Specialty Industrial Machinery,GE T&D India Limited
GFLLIMITED, Basic Materials , Chemicals,GFL Limited
GFSTEELS, Basic Materials , Steel,Grand Foundry Limited
GHCL, Basic Materials , Chemicals,GHCL Limited
GICHSGFIN, Financial Services , Mortgage Finance,GIC Housing Finance Limited
GICRE, Financial Services , Insurance-Reinsurance,General Insurance Corporation of India
GILLANDERS, Industrials , Conglomerates,Gillanders Arbuthnot & Company Limited
GILLETTE, Consumer Defensive , Household & Personal Products,Gillette India Limited
GINNIFILA, Consumer Cyclical , Textile Manufacturing,Ginni Filaments Limited
GIPCL, Utilities , Utilities-Regulated Electric,Gujarat Industries Power Company Limited
GISOLUTION, Industrials , Engineering & Construction,GI Engineering Solutions Limited
GKWLIMITED, Industrials , Specialty Business Services,GKW Limited
GLAXO, Healthcare , Drug Manufacturers-General,GlaxoSmithKline Pharmaceuticals Limited
GLENMARK, Healthcare , Drug Manufacturers-Specialty & Generic,Glenmark Pharmaceuticals Limited
GLFL, Financial Services , Shell Companies,Gujarat Lease Financing Limited
GLOBALVECT, Energy , Oil & Gas Equipment & Services,Global Vectra Helicorp Limited
GLOBOFFS, Industrials , Marine Shipping,Global Offshore Services Limited
GLOBUSSPR, Consumer Defensive , Beverages-Wineries & Distilleries,Globus Spirits Limited
GMBREW, Consumer Defensive , Beverages-Wineries & Distilleries,GM Breweries Limited
GMDCLTD, Energy , Thermal Coal,Gujarat Mineral Development Corporation Limited
GMMPFAUDLR, Industrials , Specialty Industrial Machinery,GMM Pfaudler Limited
GMRINFRA, Industrials , Airports & Air Services,GMR Infrastructure Limited
GNA, Consumer Cyclical , Auto Parts,GNA Axles Limited
GNFC, Basic Materials , Chemicals,Gujarat Narmada Valley Fertilizers and Chemicals Limited
GOACARBON, Basic Materials , Specialty Chemicals,Goa Carbon Limited
GOCLCORP,  , ,GOCL Corporation Limited
GODFRYPHLP, Consumer Defensive , Tobacco,Godfrey Phillips India Limited
GODREJAGRO,Consumer Defensive,Farm Products,Godrej Agrovet Limited
GODREJCP,Consumer Defensive,Household & Personal Products,Godrej Consumer Products Limited
GODREJIND,Industrials,Conglomerates,Godrej Industries Limited
GODREJPROP,Real Estate,Real Estate-Diversified,Godrej Properties Limited
GOENKA,Consumer Cyclical,Luxury Goods,Goenka Diamond and Jewels Limited
GOKEX,Consumer Cyclical,Apparel Manufacturing,Gokaldas Exports Limited
GOKUL,Consumer Defensive,Packaged Foods,Gokul Refoils and Solvent Limited
GOKULAGRO,Consumer Defensive,Packaged Foods,Gokul Agro Resources Limited
GOLDENTOBC,Consumer Defensive,Tobacco,Golden Tobacco Limited
GOLDIAM,Consumer Cyclical,Luxury Goods,Goldiam International Limited
GOLDTECH,Technology,Information Technology Services,Goldstone Technologies Limited
GOODLUCK,Industrials,Metal Fabrication,Goodluck India Limited
GPIL,Basic Materials,Steel,Godawari Power And Ispat limited
GPPL,Industrials,Marine Shipping,Gujarat Pipavav Port Limited
GPTINFRA,Industrials,Engineering & Construction,GPT Infraprojects Limited
GRANULES,Healthcare,Drug Manufacturers-Specialty & Generic,Granules India Limited
GRAPHITE,Industrials,Specialty Industrial Machinery,Graphite India Limited
GRASIM,Basic Materials,Building Materials,Grasim Industries Limited
GRAVITA,Industrials,Metal Fabrication,Gravita India Limited
GREAVESCOT,Industrials,Specialty Industrial Machinery,Greaves Cotton Limited
GREENLAM,Consumer Cyclical,Furnishings Fixtures & Appliances,Greenlam Industries Limited
GREENPANEL,Consumer Cyclical,Furnishings Fixtures & Appliances,Greenpanel Industries Limited
GREENPLY,Basic Materials,Lumber & Wood Production,Greenply Industries Limited
GREENPOWER,Utilities,Utilities-Independent Power Producers,Orient Green Power Company Limited
GRINDWELL,Industrials,Building Products & Equipment,Grindwell Norton Limited
GROBTEA,Consumer Defensive,Farm Products,The Grob Tea Company Limited
GRPLTD,Consumer Cyclical,Auto Parts,GRP Limited
GRSE,Industrials,Aerospace & Defense,Garden Reach Shipbuilders & Engineers Limited
GSCLCEMENT,Basic Materials,Building Materials,Gujarat Sidhee Cement Limited
GSFC,Basic Materials,Agricultural Inputs,Gujarat State Fertilizers & Chemicals Limited
GSPL,Utilities,Utilities-Regulated Gas,Gujarat State Petronet Limited
GSS,Technology,Information Technology Services,GSS Infotech Limited
GTL,Technology,Information Technology Services,GTL Limited
GTLINFRA,Technology,Communication Equipment,GTL Infrastructure Limited
GTNIND,Consumer Cyclical,Textile Manufacturing,GTN Industries Limited
GTNTEX,Consumer Cyclical,Textile Manufacturing,GTN Textiles Limited
GTPL,Communication Services,Entertainment,GTPL Hathway Limited
GUFICBIO,Healthcare,Drug Manufacturers-Specialty & Generic,Gufic Biosciences Limited
GUJALKALI,Basic Materials,Chemicals,Gujarat Alkalies and Chemicals Limited
GUJAPOLLO,Industrials,Specialty Industrial Machinery,Gujarat Apollo Industries Limited
GUJGASLTD,Utilities,Utilities-Regulated Gas,Gujarat Gas Limited
GUJRAFFIA,,,Gujarat Raffia Industries Limited
GULFOILLUB,Basic Materials,Specialty Chemicals,Gulf Oil Lubricants India Limited
GULFPETRO,Energy,Oil & Gas Refining & Marketing,GP Petroleums Limited
GULPOLY,Basic Materials,Chemicals,Gulshan Polyols Limited
GVKPIL,Industrials,Airports & Air Services,GVK Power & Infrastructure Limited
HAL,Industrials,Aerospace & Defense,Hindustan Aeronautics Limited
HARITASEAT,Consumer Cyclical,Auto Parts,Harita Seating Systems Limited
HARRMALAYA,Consumer Defensive,Farm Products,Harrisons  Malayalam Limited
HATHWAY,Communication Services,Entertainment,Hathway Cable & Datacom Limited
HATSUN,Consumer Defensive,Packaged Foods,Hatsun Agro Product Limited
HAVELLS,Industrials,Electrical Equipment & Parts,Havells India Limited
HAVISHA,Consumer Cyclical,Lodging,Sri Havisha Hospitality and Infrastructure Limited
HBLPOWER,Industrials,Electrical Equipment & Parts,HBL Power Systems Limited
HBSL,Financial Services,Capital Markets,HB Stockholdings Limited
HCC,Industrials,Engineering & Construction,Hindustan Construction Company Limited
HCG,Healthcare,Medical Care Facilities,Healthcare Global Enterprises Limited
HCL-INSYS,Technology,Electronics & Computer Distribution,HCL Infosystems Limited
HCLTECH,Technology,Information Technology Services,HCL Technologies Limited
HDFC,Financial Services,Mortgage Finance,Housing Development Finance Corporation Limited
HDFCAMC,Financial Services,Asset Management,HDFC Asset Management Company Limited
HDFCBANK,Financial Services,Banks-Regional,HDFC Bank Limited
HDFCLIFE,Financial Services,Insurance-Life,HDFC Life Insurance Company Limited
HDIL,Real Estate,Real Estate-Diversified,Housing Development and Infrastructure Limited
HEG,Industrials,Electrical Equipment & Parts,HEG Limited
HEIDELBERG,Basic Materials,Building Materials,HeidelbergCement India Limited
HERCULES,Industrials,Specialty Industrial Machinery,Hercules Hoists Limited
HERITGFOOD,Consumer Defensive,Food Distribution,Heritage Foods Limited
HEROMOTOCO,Consumer Cyclical,Auto Manufacturers,Hero MotoCorp Limited
HESTERBIO,Healthcare,Drug Manufacturers-Specialty & Generic,Hester Biosciences Limited
HEXATRADEX,Industrials,Specialty Business Services,Hexa Tradex Limited
HEXAWARE,Technology,Information Technology Services,Hexaware Technologies Limited
HFCL,Technology,Communication Equipment,HFCL Limited
HGINFRA,Industrials,Engineering & Construction,H.G. Infra Engineering Limited
HGS,Industrials,Specialty Business Services,Hinduja Global Solutions Limited
HIGHGROUND,Industrials,Engineering & Construction,High Ground Enterprise Limited
HIKAL,Healthcare,Drug Manufacturers-Specialty & Generic,Hikal Limited
HIL,Industrials,Building Products & Equipment,HIL Limited
HILTON,Industrials,Metal Fabrication,Hilton Metal Forging Limited
HIMATSEIDE,Consumer Cyclical,Textile Manufacturing,Himatsingka Seide Limited
HINDALCO,Basic Materials,Aluminum,Hindalco Industries Limited
HINDCOMPOS,Consumer Cyclical,Auto Parts,Hindustan Composites Limited
HINDCOPPER,Basic Materials,Copper,Hindustan Copper Limited
HINDMOTORS,Consumer Cyclical,Auto Manufacturers,Hindustan Motors Limited
HINDNATGLS,Consumer Cyclical,Packaging & Containers,Hindusthan National Glass & Industries Limited
HINDOILEXP,Energy,Oil & Gas E&P,Hindustan Oil Exploration Company Limited
HINDPETRO,Energy,Oil & Gas Refining & Marketing,Hindustan Petroleum Corporation Limited
HINDUNILVR,Consumer Defensive,Household & Personal Products,Hindustan Unilever Limited
HINDZINC,Basic Materials,Other Industrial Metals & Mining,Hindustan Zinc Limited
HIRECT,Industrials,Electrical Equipment & Parts,Hind Rectifiers Limited
HISARMETAL,Basic Materials,Steel,Hisar Metal Industries Limited
HITECH,Basic Materials,Steel,Hi-Tech Pipes Limited
HITECHCORP,Consumer Cyclical,Packaging & Containers,Hitech Corporation Limited
HITECHGEAR,Consumer Cyclical,Auto Parts,The Hi-Tech Gears Limited
HLVLTD,Consumer Cyclical,Lodging,HLV LIMITED
HMT,Industrials,Farm & Heavy Construction Machinery,HMT Limited
HMVL,Communication Services,Publishing,Hindustan Media Ventures Limited
HNDFDS,Consumer Defensive,Packaged Foods,Hindustan Foods Limited
HONAUT,Industrials,Specialty Industrial Machinery,Honeywell Automation India Limited
HONDAPOWER,Industrials,Specialty Industrial Machinery,Honda Siel Power Products Limited
HOTELRUGBY,Financial Services,Shell Companies,Hotel Rugby Limited
HOVS,Technology,Information Technology Services,HOV Services Limited
HPL,Industrials,Electrical Equipment & Parts,HPL Electric & Power Limited
HSCL,Basic Materials,Chemicals,Himadri Speciality Chemical Limited
HSIL,Industrials,Building Products & Equipment,HSIL Limited
HTMEDIA,Communication Services,Publishing,HT Media Limited
HUBTOWN,Real Estate,Real Estate-Development,Hubtown Limited
HUDCO,Financial Services,Credit Services,Housing & Urban Development Corporation Limited
IBREALEST,Real Estate,Real Estate-Development,Indiabulls Real Estate Limited
IBULHSGFIN,Financial Services,Mortgage Finance,Indiabulls Housing Finance Limited
IBULISL,Real Estate,Real Estate-Diversified,Indiabulls Integrated Services Limited
IBVENTURES,Financial Services,Capital Markets,Indiabulls Ventures Limited
ICICIBANK,Financial Services,Banks-Regional,ICICI Bank Limited
ICICIGI,Financial Services,Insurance-Diversified,ICICI Lombard General Insurance Company Limited
ICICIPRULI,Financial Services,Insurance-Life,ICICI Prudential Life Insurance Company Limited
ICIL,Consumer Cyclical,Textile Manufacturing,Indo Count Industries Limited
ICRA,Financial Services,Financial Data & Stock Exchanges,ICRA Limited
IDBI,Financial Services,Banks-Regional,IDBI Bank Limited
IDEA,Communication Services,Telecom Services,Vodafone Idea Limited
IDFC,Financial Services,Credit Services,IDFC Limited
IDFCFIRSTB,Financial Services,Banks-Regional,IDFC First Bank Limited
IEX,Financial Services,Capital Markets,Indian Energy Exchange Limited
IFBAGRO,Consumer Defensive,Beverages-Wineries & Distilleries,IFB Agro Industries Limited
IFBIND,Technology,Consumer Electronics,IFB Industries Limited
IFCI,Financial Services,Credit Services,IFCI Limited
IFGLEXPOR,Basic Materials,Building Materials,IFGL Refractories Limited
IGARASHI,Consumer Cyclical,Auto Parts,Igarashi Motors India Limited
IGL,Utilities,Utilities-Regulated Gas,Indraprastha Gas Limited
IGPL,Basic Materials,Specialty Chemicals,IG Petrochemicals Limited
IIFL,Financial Services,Capital Markets,IIFL Finance Limited
IIFLSEC,Financial Services,Capital Markets,IIFL Securities Limited
IIFLWAM,Financial Services,Asset Management,Iifl Wealth Management Limited
IITL,Financial Services,Insurance-Life,Industrial Investment Trust Limited
IL&FSENGG,Industrials,Engineering & Construction,IL&FS Engineering and Construction Company Limited
IL&FSTRANS,Industrials,Infrastructure Operations,IL&FS Transportation Networks Limited
IMAGICAA,Communication Services,Entertainment,Imagicaaworld Entertainment Limited
IMFA,Basic Materials,Steel,Indian Metals & Ferro Alloys Limited
IMPAL,Consumer Cyclical,Auto Parts,India Motor Parts and Accessories Limited
IMPEXFERRO,Basic Materials,Other Industrial Metals & Mining,Impex Ferro Tech Limited
INDBANK,Financial Services,Capital Markets,Indbank Merchant Banking Services Limited
INDHOTEL,Consumer Cyclical,Lodging,The Indian Hotels Company Limited
INDIACEM,Basic Materials,Building Materials,The India Cements Limited
INDIAGLYCO,Basic Materials,Chemicals,India Glycols Limited
INDIAMART,Communication Services,Internet Content & Information,Indiamart Intermesh Limited
INDIANB,Financial Services,Banks-Regional,Indian Bank
INDIANCARD,Consumer Cyclical,Textile Manufacturing,Indian Card Clothing Company Limited
INDIANHUME,Industrials,Engineering & Construction,Indian Hume Pipe Company Limited
INDIGO,Industrials,Airlines,InterGlobe Aviation Limited
INDLMETER,Industrials,Specialty Industrial Machinery,IMP Powers Limited
INDNIPPON,Consumer Cyclical,Auto Parts,India Nippon Electricals Limited
INDOCO,Healthcare,Drug Manufacturers-Specialty & Generic,Indoco Remedies Limited
INDORAMA,Consumer Cyclical,Textile Manufacturing,Indo Rama Synthetics (India) Limited
INDOSOLAR,Technology,Solar,Indosolar Limited
INDOSTAR,Financial Services,Credit Services,IndoStar Capital Finance Limited
INDOTECH,Industrials,Electrical Equipment & Parts,Indo Tech Transformers Limited
INDOTHAI,Financial Services,Capital Markets,Indo Thai Securities Limited
INDOWIND,Utilities,Utilities-Independent Power Producers,Indowind Energy Limited
INDRAMEDCO,Healthcare,Medical Care Facilities,Indraprastha Medical Corporation Limited
INDSWFTLAB,Healthcare,Drug Manufacturers-Specialty & Generic,Ind-Swift Laboratories Limited
INDSWFTLTD,Healthcare,Drug Manufacturers-Specialty & Generic,Ind-Swift Limited
INDTERRAIN,Consumer Cyclical,Apparel Manufacturing,Indian Terrain Fashions Limited
INDUSINDBK,Financial Services,Banks-Regional,IndusInd Bank Limited
INEOSSTYRO,Basic Materials,Chemicals,INEOS Styrolution India Limited
INFIBEAM,Technology,Software-Infrastructure,Infibeam Avenues Limited
INFOBEAN,Technology,Software-Application,InfoBeans Technologies Limited
INFOMEDIA,Financial Services,Shell Companies,Infomedia Press Limited
INFRATEL,Communication Services,Telecom Services,Bharti Infratel Limited
INFY,Technology,Information Technology Services,Infosys Limited
INGERRAND,Industrials,Specialty Industrial Machinery,Ingersoll Rand (India) Limited
INOXLEISUR,Communication Services,Entertainment,INOX Leisure Limited
INOXWIND,Industrials,Specialty Industrial Machinery,Inox Wind Limited
INSECTICID,Basic Materials,Agricultural Inputs,Insecticides (India) Limited
INSPIRISYS,Technology,Information Technology Services,Inspirisys Solutions Limited
INTEGRA,Consumer Cyclical,Apparel Manufacturing,Integra Garments and Textiles Limited
INTELLECT,Technology,Information Technology Services,Intellect Design Arena Limited
INTENTECH,Technology,Software-Application,Intense Technologies Limited
INVENTURE,Financial Services,Capital Markets,Inventure Growth & Securities Limited
IOB,Financial Services,Banks-Regional,Indian Overseas Bank
IOC,Energy,Oil & Gas Refining & Marketing,Indian Oil Corporation Limited
IOLCP,Healthcare,Drug Manufacturers-Specialty & Generic,IOL Chemicals and Pharmaceuticals Limited
IPCALAB,Healthcare,Drug Manufacturers-Specialty & Generic,IPCA Laboratories Limited
IRB,Industrials,Infrastructure Operations,IRB Infrastructure Developers Limited
IRCON,Industrials,Engineering & Construction,Ircon International Limited
IRCTC,Industrials,Railroads,Indian Railway Catering And Tourism Corporation Limited
ISEC,Financial Services,Capital Markets,ICICI Securities Limited
ISFT,Consumer Cyclical,Internet Retail,Intrasoft Technologies Limited
ISMTLTD,Basic Materials,Steel,ISMT Limited
ITC,Consumer Defensive,Tobacco,ITC Limited
ITDC,Consumer Cyclical,Lodging,India Tourism Development Corporation Limited
ITDCEM,Industrials,Engineering & Construction,ITD Cementation India Limited
ITI,Technology,Communication Equipment,ITI Limited
IVC,Financial Services,Financial Conglomerates,IL&FS Investment Managers Limited
IVP,Basic Materials,Specialty Chemicals,IVP Limited
IZMO,Technology,Software-Application,IZMO Limited
J&KBANK,Financial Services,Banks-Regional,The Jammu & Kashmir Bank Limited
JAGRAN,Communication Services,Publishing,Jagran Prakashan Limited
JAGSNPHARM,Healthcare,Drug Manufacturers-Specialty & Generic,Jagsonpal Pharmaceuticals Limited
JAIBALAJI,Basic Materials,Steel,Jai Balaji Industries Limited
JAICORPLTD,Basic Materials,Specialty Chemicals,Jai Corp Limited
JAIHINDPRO,Industrials,Engineering & Construction,Jaihind Projects Limited
JAINSTUDIO,Communication Services,Broadcasting,Jain Studios Limited
JAMNAAUTO,Consumer Cyclical,Auto Parts,Jamna Auto Industries Limited
JASH,Industrials,Specialty Industrial Machinery,Jash Engineering Limited
JAYAGROGN,Basic Materials,Specialty Chemicals,Jayant Agro Organics Limited
JAYBARMARU,Consumer Cyclical,Auto Parts,Jay Bharat Maruti Limited
JAYNECOIND,Basic Materials,Steel,Jayaswal Neco Industries Limited
JAYSREETEA,Consumer Defensive,Farm Products,Jayshree Tea & Industries Limited
JBCHEPHARM,Healthcare,Drug Manufacturers-Specialty & Generic,JB Chemicals & Pharmaceuticals Limited
JBFIND,Consumer Cyclical,Textile Manufacturing,JBF Industries Limited
JBMA,Consumer Cyclical,Auto Parts,JBM Auto Limited
JCHAC,Technology,Consumer Electronics,Johnson Controls - Hitachi Air Conditioning India Limited
JETAIRWAYS,Industrials,Airlines,Jet Airways (India) Limited
JHS,Consumer Defensive,Household & Personal Products,JHS Svendgaard Laboratories Limited
JIKIND,Consumer Cyclical,Furnishings Fixtures & Appliances,JIK Industries Limited
JINDALPHOT,Financial Services,Asset Management,Jindal Photo Limited
JINDALPOLY,Basic Materials,Specialty Chemicals,Jindal Poly Films Limited
JINDALSAW,Basic Materials,Steel,Jindal Saw Limited
JINDALSTEL,Basic Materials,Steel,Jindal Steel & Power Limited
JINDRILL,Energy,Oil & Gas Equipment & Services,Jindal Drilling And Industries Limited
JINDWORLD,Consumer Cyclical,Textile Manufacturing,Jindal Worldwide Limited
JISLDVREQS,Industrials,Farm & Heavy Construction Machinery,Jain Irrigation Systems Limited
JISLJALEQS,Industrials,Farm & Heavy Construction Machinery,Jain Irrigation Systems Limited
JITFINFRA,Industrials,Integrated Freight & Logistics,JITF Infralogistics Limited
JIYAECO,Basic Materials,Specialty Chemicals,Jiya Eco-Products Limited
JKCEMENT,Basic Materials,Building Materials,JK Cement Limited
JKIL,Industrials,Engineering & Construction,J.Kumar Infraprojects Limited
JKLAKSHMI,Basic Materials,Building Materials,JK Lakshmi Cement Limited
JKPAPER,Basic Materials,Paper & Paper Products,JK Paper Limited
JKTYRE,Consumer Cyclical,Auto Parts,JK Tyre & Industries Limited
JMA,Consumer Cyclical,Auto Parts,Jullundur Motor Agency (Delhi) Limited
JMCPROJECT,Industrials,Engineering & Construction,JMC Projects (India)  Limited
JMFINANCIL,Financial Services,Capital Markets,JM Financial Limited
JMTAUTOLTD,Consumer Cyclical,Auto Parts,JMT Auto Limited
JOCIL,Basic Materials,Specialty Chemicals,Jocil Limited
JPASSOCIAT,Industrials,Conglomerates,Jaiprakash Associates Limited
JPINFRATEC,Industrials,Infrastructure Operations,Jaypee Infratech Limited
JPOLYINVST,Financial Services,Asset Management,Jindal Poly Investment and Finance Company Limited
JPPOWER,Utilities,Utilities-Independent Power Producers,Jaiprakash Power Ventures Limited
JSL,Basic Materials,Steel,Jindal Stainless Limited
JSLHISAR,Basic Materials,Steel,Jindal Stainless (Hisar) Limited
JSWENERGY,Utilities,Utilities-Independent Power Producers,JSW Energy Limited
JSWHL,Industrials,Conglomerates,JSW Holdings Limited
JSWSTEEL,Basic Materials,Steel,JSW Steel Limited
JTEKTINDIA,Consumer Cyclical,Auto Parts,Jtekt India Limited
JUBILANT,Healthcare,Drug Manufacturers-Specialty & Generic,Jubilant Life Sciences Limited
JUBLFOOD,Consumer Cyclical,Restaurants,Jubilant Foodworks Limited
JUBLINDS,Basic Materials,Specialty Chemicals,Jubilant Industries Limited
JUMPNET,Technology,Electronics & Computer Distribution,Jump Networks Limited
JUSTDIAL,Communication Services,Internet Content & Information,Just Dial Limited
JVLAGRO,Consumer Defensive,Packaged Foods,JVL Agro Industries Limited
JYOTHYLAB,Consumer Defensive,Household & Personal Products,Jyothy Labs Limited
JYOTISTRUC,Industrials,Specialty Industrial Machinery,Jyoti Structures Limited
KABRAEXTRU,Industrials,Specialty Industrial Machinery,Kabra Extrusion Technik Limited
KAJARIACER,Industrials,Building Products & Equipment,Kajaria Ceramics Limited
KAKATCEM,Basic Materials,Building Materials,Kakatiya Cement Sugar & Industries Limited
KALPATPOWR,Industrials,Engineering & Construction,Kalpataru Power Transmission Limited
KALYANIFRG,Consumer Cyclical,Auto Parts,Kalyani Forge Limited
KAMATHOTEL,Consumer Cyclical,Lodging,Kamat Hotels (I) Limited
KAMDHENU,Basic Materials,Steel,Kamdhenu Limited
