Symbol, Sector, Sub-sector,Company,beta
ASHOKLEY, Consumer Cyclical , Auto Manufacturers,Ashok Leyland Limited,0.7671600000000001
ASIANHOTNR, Consumer Cyclical , Lodging,Asian Hotels (North) Limited,0.793681
ASIANPAINT, Basic Materials , Specialty Chemicals,Asian Paints Limited,0.27613099999999996
ASIANTILES, Industrials , Building Products & Equipment,Asian Granito India Limited,1.01794
ASPINWALL, Consumer Defensive , Farm Products,Aspinwall and Company Limited,1.220272
ASTERDM, Healthcare , Medical Care Facilities,Aster DM Healthcare Limited,0.765411
ASTRAL, Industrials , Building Products & Equipment,Astral Poly Technik Limited,0.43993699999999997
ASTRAMICRO, Technology , Communication Equipment,Astra Microwave Products Limited,0.857644
ASTRAZEN, Healthcare , Drug Manufacturers-Specialty & Generic,AstraZeneca Pharma India Limited,0.317862
ASTRON, Basic Materials , Paper & Paper Products,Astron Paper & Board Mill Limited,0.854499
ATFL, Consumer Defensive , Packaged Foods,Agro Tech Foods Limited,0.813572
ATLANTA, Industrials , Infrastructure Operations,Atlanta  Limited,1.76287
ATLASCYCLE, Consumer Cyclical , Leisure,Atlas Cycles (Haryana) Limited,1.033541
ATNINTER, Financial Services , Capital Markets,ATN International Limited,0.106796
ATUL, Basic Materials , Specialty Chemicals,Atul Limited,0.412246
ATULAUTO, Consumer Cyclical , Auto Manufacturers,Atul Auto Limited,0.623398
AUBANK, Financial Services , Banks-Regional,AU Small Finance Bank Limited,0.766064
AURIONPRO, Technology , Software-Infrastructure,Aurionpro Solutions Limited,0.49921899999999997
AUROPHARMA, Healthcare , Drug Manufacturers-Specialty & Generic,Aurobindo Pharma Limited,0.604524
AUSOMENT, Financial Services , Capital Markets,Ausom Enterprise Limited,0.306552
AUTOAXLES, Consumer Cyclical , Auto Parts,Automotive Axles Limited,1.00858
AUTOIND, Consumer Cyclical , Auto Parts,Autoline Industries Limited,1.205928
AUTOLITIND, Consumer Cyclical , Auto Parts,Autolite (India) Limited,0.567472
AVADHSUGAR, Consumer Defensive , Confectioners,Avadh Sugar & Energy Limited,0.7328509999999999
AVANTIFEED, Consumer Defensive , Packaged Foods,Avanti Feeds Limited,0.934477
AVTNPL, Basic Materials , Specialty Chemicals,AVT Natural Products Limited,0.8085019999999999
AXISBANK, Financial Services , Banks-Regional,Axis Bank Limited,1.122074
AXISCADES, Industrials , Engineering & Construction,AXISCADES Engineering Technologies Limited,1.187207
AYMSYNTEX, Consumer Cyclical , Textile Manufacturing,AYM Syntex Limited,0.21645799999999998
BAFNAPH, Healthcare , Drug Manufacturers-Specialty & Generic,Bafna Pharmaceuticals Limited,0.469358
BAGFILMS, Communication Services , Broadcasting,B.A.G Films and Media Limited,0.161466
BAJAJ-AUTO, Consumer Cyclical , Auto Manufacturers,Bajaj Auto Limited,0.787831
BAJAJCON, Consumer Defensive , Household & Personal Products,Bajaj Consumer Care Limited,0.559282
BAJAJELEC, Utilities , Utilities-Independent Power Producers,Bajaj Electricals Limited,0.977379
BAJAJFINSV, Financial Services , Insurance-Diversified,Bajaj Finserv Limited,1.00858
BAJAJHIND, Consumer Defensive , Confectioners,Bajaj Hindusthan Sugar Limited,1.854524
BAJAJHLDNG, Financial Services , Asset Management,Bajaj Holdings & Investment Limited,0.7866609999999999
BAJFINANCE, Financial Services , Credit Services,Bajaj Finance Limited,0.868174
BALAJITELE, Communication Services , Entertainment,Balaji Telefilms Limited,0.791731
BALAMINES, Basic Materials , Specialty Chemicals,Balaji Amines Limited,1.4726979999999998
BALKRISHNA, Consumer Cyclical , Packaging & Containers,Balkrishna Paper Mills Limited,1.9745789999999999
BALKRISIND, Consumer Cyclical , Auto Parts,Balkrishna Industries Limited,0.7152879999999999
BALLARPUR, Basic Materials , Paper & Paper Products,Ballarpur Industries Limited,0.632995
BALMLAWRIE, Industrials , Conglomerates,Balmer Lawrie & Company Limited,0.42589699999999997
BALPHARMA, Healthcare , Drug Manufacturers-Specialty & Generic,Bal Pharma Limited,0.48400899999999997
BALRAMCHIN, Consumer Defensive , Confectioners,Balrampur Chini Mills Limited,0.43876699999999996
BANARBEADS, Consumer Cyclical , Footwear & Accessories,Banaras Beads Limited,0.284711
BANARISUG, Consumer Defensive , Confectioners,Bannari Amman Sugars Limited,0.841653
BANCOINDIA, Consumer Cyclical , Auto Parts,Banco Products (I) Limited,0.8065519999999999
BANDHANBNK, Financial Services , Banks-Regional,Bandhan Bank Limited,1.673731
BANG, Consumer Cyclical , Apparel Manufacturing,Bang Overseas Limited,0.148595
BANKBARODA, Financial Services , Banks-Regional,Bank of Baroda,0.413806
BANKINDIA, Financial Services , Banks-Regional,Bank of India,1.115054
BANSWRAS, Consumer Cyclical , Textile Manufacturing,Banswara Syntex Limited,0.15678599999999998
BARTRONICS, Technology , Information Technology Services,Bartronics India Limited,0.35803399999999996
BASF, Basic Materials , Chemicals,BASF India Limited,0.066302
BASML, Consumer Cyclical , Textile Manufacturing,Bannari Amman Spinning Mills Limited,0.815522
BATAINDIA, Consumer Cyclical , Footwear & Accessories,Bata India Limited,0.619734
BAYERCROP, Basic Materials , Agricultural Inputs,Bayer Cropscience Limited,0.596723
BBL, Industrials , Electrical Equipment & Parts,Bharat Bijlee Limited,0.651326
BBTC, Industrials , Conglomerates,Bombay Burmah Trading Corporation Limited,0.839703
BCG, Technology , Internet Information Providers,Brightcom Group Limited,1.142745
BCP, Industrials , Electrical Equipment & Parts,B.C. Power Controls Ltd,1.776131
BDL, Industrials , Aerospace & Defense,Bharat Dynamics Limited,0.910404
BEARDSELL, Industrials , Building Products & Equipment,Beardsell Limited,-0.320592
BEDMUTHA, Basic Materials , Steel,Bedmutha Industries Limited,0.6735559999999999
BEL, Industrials , Aerospace & Defense,Bharat Electronics Limited,0.191887
BEML, Industrials , Specialty Industrial Machinery,BEML Limited,1.025351
BEPL, Basic Materials , Chemicals,Bhansali Engineering Polymers Limited,1.583463
BERGEPAINT, Basic Materials , Specialty Chemicals,Berger Paints (I) Limited,0.30109199999999997
BFINVEST, Financial Services , Asset Management,BF Investment Limited,0.685257
BFUTILITIE, Industrials , Engineering & Construction,BF Utilities Limited,1.399765
BGRENERGY, Industrials , Engineering & Construction,BGR Energy Systems Limited,0.9216059999999999
BHAGERIA, Basic Materials , Specialty Chemicals,Bhageria Industries Limited,1.422776
BHAGYANGR, Industrials , Electrical Equipment & Parts,Bhagyanagar India Limited,0.27028
BHAGYAPROP, Real Estate , Real Estate Services,Bhagyanagar Properties Limited,0.618772
BHANDARI, Consumer Cyclical , Apparel Manufacturing,Bhandari Hosiery Exports Limited,0.951248
BHARATFORG, Consumer Cyclical , Auto Parts,Bharat Forge Limited,1.098673
BHARATGEAR, Consumer Cyclical , Auto Parts,Bharat Gears Limited,1.3888449999999999
BHARATRAS, Basic Materials , Agricultural Inputs,Bharat Rasayan Limited,0.525351
BHARATWIRE, Basic Materials , Steel,Bharat Wire Ropes Limited,1.779464
BHARTIARTL, Communication Services , Telecom Services,Bharti Airtel Limited,0.651326
BHEL, Industrials , Specialty Industrial Machinery,Bharat Heavy Electricals Limited,1.117394
BIGBLOC, Industrials , Building Products & Equipment,Bigbloc Construction Limited,0.616547
BIL, Consumer Cyclical , Footwear & Accessories,Bhartiya International Limited,0.6934469999999999
BILENERGY, Industrials , Metal Fabrication,Bil Energy Systems Limited,1.712948
BINANIIND, Basic Materials , Building Materials,Binani Industries Limited,0.196177
BINDALAGRO, Financial Services , Asset Management,Oswal Chemicals & Fertilizers Limited,-0.0066300000000000005
BIOCON, Healthcare , Biotechnology,Biocon Limited,0.6021839999999999
BIOFILCHEM, Healthcare , Drug Manufacturers-Specialty & Generic,Biofil Chemicals & Pharmaceuticals Limited,1.607254
BIRLACABLE, Technology , Communication Equipment,Birla Cable Limited,0.677067
BIRLACORPN, Basic Materials , Building Materials,Birla Corporation Limited,0.666146
BIRLAMONEY, Financial Services , Capital Markets,Aditya Birla Money Limited,1.2262089999999999
BKMINDST, Consumer Cyclical , Packaging & Containers,Bkm Industries Limited,1.27067
BLBLIMITED, Financial Services , Capital Markets,BLB Limited,-0.50117
BLISSGVS, Healthcare , Drug Manufacturers-Specialty & Generic,Bliss GVS Pharma Limited,0.203978
BLKASHYAP, Industrials , Engineering & Construction,B. L. Kashyap and Sons Limited,0.343993
BLS, Industrials , Specialty Business Services,BLS International Services Limited,0.683194
BLUEBLENDS, Consumer Cyclical , Textile Manufacturing,Blue Blends (I) Limited,-0.102184
BLUECHIP, Financial Services , Capital Markets,Blue Chip India Limited,-2.362714
BLUECOAST, Consumer Cyclical , Lodging,Blue Coast Hotels Limited,0.25195
BLUEDART, Industrials , Integrated Freight & Logistics,Blue Dart Express Limited,0.50975
BLUESTARCO, Industrials , Specialty Industrial Machinery,Blue Star Limited,1.072932
BODALCHEM, Basic Materials , Specialty Chemicals,Bodal Chemicals Limited,1.26599
BOMDYEING, Real Estate , Real Estate Services,Bombay Dyeing & Mfg Company Limited,1.068252
BORORENEW, Consumer Cyclical , Packaging & Containers,BOROSIL RENEWABLES LIMITED,0.615834
BOSCHLTD, Consumer Cyclical , Auto Parts,Bosch Limited,0.645475
BPCL, Energy , Oil & Gas Refining & Marketing,Bharat Petroleum Corporation Limited,0.930187
BPL, Technology , Consumer Electronics,BPL Limited,0.8307329999999999
BRFL, Consumer Cyclical , Textile Manufacturing,Bombay Rayon Fashions Limited,0.5795629999999999
BRIGADE, Real Estate , Real Estate-Development,Brigade Enterprises Limited,0.704368
BRITANNIA, Consumer Defensive , Packaged Foods,Britannia Industries Limited,0.37207399999999996
BRNL, Industrials , Infrastructure Operations,Bharat Road Network Limited,0.831399
BROOKS, Healthcare , Drug Manufacturers-Specialty & Generic,Brooks Laboratories Limited,0.904446
BSE, Financial Services , Financial Data & Stock Exchanges,BSE Limited,1.095782
BSELINFRA, Real Estate , Real Estate-Development,BSEL Infrastructure Realty Limited,0.7652100000000001
BSL, Consumer Cyclical , Textile Manufacturing,BSL Limited,1.412636
BSOFT, Technology , Information Technology Services,BIRLASOFT LIMITED,0.27613099999999996
BURNPUR, Basic Materials , Building Materials,Burnpur Cement Limited,0.889235
BUTTERFLY, Technology , Consumer Electronics,Butterfly Gandhimathi Appliances Limited,0.659906
BVCL, Basic Materials , Building Materials,Barak Valley Cements Limited,0.5156000000000001
BYKE, Consumer Cyclical , Lodging,The Byke Hospitality Ltd,0.663026
CADILAHC, Healthcare , Drug Manufacturers-Specialty & Generic,Cadila Healthcare Limited,0.38221499999999997
CALSOFT, Technology , Software-Application,California Software Company Limited,1.136505
CAMLINFINE, Basic Materials , Specialty Chemicals,Camlin Fine Sciences Limited,1.039781
CANBK, Financial Services , Banks-Regional,Canara Bank,0.971138
CANDC, Industrials , Engineering & Construction,C & C Constructions Limited,0.5362709999999999
CANFINHOME, Financial Services , Mortgage Finance,Can Fin Homes Limited,0.50741
CANTABIL, Consumer Cyclical , Apparel Manufacturing,Cantabil Retail India Limited,0.711778
